# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,58,1402,veg_c (below ground biomass),1,0,0,8,0,1
afg,58,1403,soil_c (0-30 cms),23,30,10,320,20,160
afg,58,1403,veg_c (below ground biomass),1,0,0,8,0,1
afg,58,1405,soil_c (0-30 cms),27,30,10,320,20,160
afg,58,1405,veg_c (below ground biomass),1,0,0,8,0,1
afg,58,1406,soil_c (0-30 cms),19,30,10,320,20,160
afg,58,1407,soil_c (0-30 cms),170,30,10,320,20,160
afg,58,1407,veg_c (below ground biomass),1,0,0,9,1,1
afg,58,1501,soil_c (0-30 cms),25,130,10,290,20,160
afg,58,1502,soil_c (0-30 cms),41,130,10,290,20,160
afg,58,1507,soil_c (0-30 cms),2,130,10,290,20,160
afg,89,901,soil_c (0-30 cms),87,60,30,160,50,90
afg,89,901,veg_c (above ground biomass),6,2,1,37,2,2
afg,89,901,veg_c (below ground biomass),5,1,1,31,2,2
afg,89,902,soil_c (0-30 cms),71,60,30,160,50,90
afg,89,902,veg_c (above ground biomass),3,1,1,30,2,2
afg,89,902,veg_c (below ground biomass),4,2,1,38,2,2
afg,89,1001,soil_c (0-30 cms),107,70,20,270,50,120
afg,89,1001,veg_c (above ground biomass),3,2,0,38,2,3
afg,89,1001,veg_c (below ground biomass),4,2,1,48,2,4
afg,89,1002,soil_c (0-30 cms),81,70,20,270,50,120
afg,89,1002,veg_c (above ground biomass),2,1,0,34,1,3
afg,89,1002,veg_c (below ground biomass),4,2,1,52,2,4
afg,89,1101,soil_c (0-30 cms),62,50,40,90,40,70
afg,89,1101,veg_c (above ground biomass),4,1,1,29,1,5
afg,89,1101,veg_c (below ground biomass),4,2,1,35,2,6
afg,89,1102,soil_c (0-30 cms),60,50,40,90,40,70
afg,89,1102,veg_c (above ground biomass),3,1,1,28,1,5
afg,89,1102,veg_c (below ground biomass),4,2,1,36,2,6
afg,89,1201,soil_c (0-30 cms),76,50,20,250,40,90
afg,89,1201,veg_c (above ground biomass),1,1,0,31,1,1
afg,89,1201,veg_c (below ground biomass),3,2,0,69,2,3
afg,89,1202,soil_c (0-30 cms),55,50,20,250,40,90
afg,89,1202,veg_c (above ground biomass),1,1,0,31,1,1
afg,89,1202,veg_c (below ground biomass),2,2,0,69,2,3
afg,89,1301,soil_c (0-30 cms),124,120,30,230,110,160
afg,89,1301,veg_c (above ground biomass),3,0,0,31,1,5
afg,89,1301,veg_c (below ground biomass),4,0,0,34,1,5
afg,89,1302,soil_c (0-30 cms),123,120,30,230,110,160
afg,89,1302,veg_c (above ground biomass),4,0,0,31,1,5
afg,89,1302,veg_c (below ground biomass),5,0,0,34,1,5
afg,89,1401,soil_c (0-30 cms),103,40,20,250,20,160
afg,89,1401,veg_c (above ground biomass),1,0,0,6,0,2
afg,89,1401,veg_c (below ground biomass),2,1,0,12,1,4
afg,89,1402,soil_c (0-30 cms),33,40,20,250,20,160
afg,89,1402,veg_c (below ground biomass),1,1,0,14,1,4
afg,89,1501,soil_c (0-30 cms),23,140,20,270,90,180
afg,89,1502,soil_c (0-30 cms),2,140,20,270,90,180
afg,90,1001,soil_c (0-30 cms),51,40,10,150,30,70
afg,90,1001,veg_c (below ground biomass),2,1,0,5,1,3
afg,90,1002,soil_c (0-30 cms),50,40,10,150,30,70
afg,90,1002,veg_c (below ground biomass),2,1,0,5,1,3
afg,90,1201,soil_c (0-30 cms),26,30,10,110,20,40
afg,90,1201,veg_c (above ground biomass),1,1,0,2,1,1
afg,90,1201,veg_c (below ground biomass),2,1,0,3,1,2
afg,90,1202,soil_c (0-30 cms),25,30,10,110,20,40
afg,90,1202,veg_c (above ground biomass),1,1,0,2,1,1
afg,90,1202,veg_c (below ground biomass),1,1,0,3,1,2
afg,90,1205,soil_c (0-30 cms),20,30,10,110,20,40
afg,90,1207,soil_c (0-30 cms),20,30,10,110,20,40
afg,90,1207,veg_c (above ground biomass),1,1,0,3,1,2
afg,90,1207,veg_c (below ground biomass),1,1,0,2,1,1
afg,90,1401,soil_c (0-30 cms),11,10,10,20,10,10
afg,90,1401,veg_c (below ground biomass),1,1,0,2,1,1
afg,90,1402,soil_c (0-30 cms),11,10,10,20,10,10
afg,90,1402,veg_c (below ground biomass),1,1,0,1,1,1
afg,90,1405,soil_c (0-30 cms),17,10,10,20,10,10
afg,90,1407,soil_c (0-30 cms),12,10,10,20,10,10
afg,90,1407,veg_c (below ground biomass),1,1,0,2,1,1
afg,97,1001,soil_c (0-30 cms),66,60,20,240,40,90
afg,97,1001,veg_c (below ground biomass),2,2,1,5,2,2
afg,97,1002,soil_c (0-30 cms),66,60,20,240,40,90
afg,97,1002,veg_c (below ground biomass),2,2,1,5,2,2
afg,97,1201,soil_c (0-30 cms),36,30,10,200,20,50
